binary_variable,tree_count,total_binary_variables
age <= 22.5,7,63
age <= 20.5,6,63
priors_count <= 2.5,5,63
age <= 33.5,5,63
priors_count <= 7.5,5,63
priors_count <= 8.5,4,63
priors_count <= 1.5,4,63
priors_count <= 9.5,3,63
age <= 38.5,3,63
sex=female <= 0.5,3,63
age <= 36.5,3,63
priors_count <= 0.5,3,63
age <= 52.5,3,63
age <= 24.5,3,63
priors_count <= 5.0,2,63
priors_count <= 15.5,2,63
age <= 29.5,2,63
age <= 34.5,1,63
age <= 32.5,1,63
priors_count <= 4.5,1,63
age <= 19.5,1,63
priors_count <= 3.5,1,63
priors_count <= 13.5,1,63
age <= 55.5,1,63
